date	outbreaks
2018-01-01	0
2018-01-02	20
2018-01-03	24
2018-01-04	25
2018-01-05	16
2018-01-06	6
2018-01-07	7
2018-01-08	15
2018-01-09	16
2018-01-10	21
2018-01-11	17
2018-01-12	4
2018-01-13	6
2018-01-14	5
2018-01-15	15
2018-01-16	13
2018-01-17	28
2018-01-18	16
2018-01-19	11
2018-01-20	5
2018-01-21	7
2018-01-22	22
2018-01-23	24
2018-01-24	31
2018-01-25	22
2018-01-26	13
2018-01-27	3
2018-01-28	5
2018-01-29	26
2018-01-30	15
2018-01-31	36
2018-02-01	24
2018-02-02	20
2018-02-03	5
2018-02-04	6
2018-02-05	35
2018-02-06	21
2018-02-07	17
2018-02-08	12
2018-02-09	15
2018-02-10	4
2018-02-11	2
2018-02-12	27
2018-02-13	15
2018-02-14	18
2018-02-15	13
2018-02-16	19
2018-02-17	6
2018-02-18	6
2018-02-19	19
2018-02-20	12
2018-02-21	15
2018-02-22	6
2018-02-23	0
2018-02-24	0
2018-02-25	1
2018-02-26	2
2018-02-27	7
2018-02-28	7
2018-03-01	1
2018-03-02	104
2018-03-03	9
2018-03-04	2
2018-03-05	20
2018-03-06	27
2018-03-07	14
2018-03-08	14
2018-03-09	11
2018-03-10	3
2018-03-11	7
2018-03-12	29
2018-03-13	16
2018-03-14	23
2018-03-15	10
2018-03-16	8
2018-03-17	2
2018-03-18	5
2018-03-19	10
2018-03-20	14
2018-03-21	10
2018-03-22	12
2018-03-23	8
2018-03-24	8
2018-03-25	2
2018-03-26	13
2018-03-27	15
2018-03-28	7
2018-03-29	9
2018-03-30	4
2018-03-31	3
2018-04-01	0
2018-04-02	4
2018-04-03	19
2018-04-04	7
2018-04-05	19
2018-04-06	12
2018-04-07	4
2018-04-08	5
2018-04-09	12
2018-04-10	12
2018-04-11	15
2018-04-12	6
2018-04-13	11
2018-04-14	4
2018-04-15	3
2018-04-16	14
2018-04-17	6
2018-04-18	11
2018-04-19	12
2018-04-20	7
2018-04-21	3
2018-04-22	5
2018-04-23	16
2018-04-24	11
2018-04-25	7
2018-04-26	9
2018-04-27	6
2018-04-28	10
2018-04-29	5
2018-04-30	9
2018-05-01	1
2018-05-02	15
2018-05-03	3
2018-05-04	5
2018-05-05	4
2018-05-06	3
2018-05-07	23
2018-05-08	6
2018-05-09	9
2018-05-10	4
2018-05-11	5
2018-05-12	2
2018-05-13	0
2018-05-14	14
2018-05-15	6
2018-05-16	14
2018-05-17	5
2018-05-18	7
2018-05-19	5
2018-05-20	5
2018-05-21	12
2018-05-22	8
2018-05-23	10
2018-05-24	9
2018-05-25	3
2018-05-26	3
2018-05-27	3
2018-05-28	8
2018-05-29	9
2018-05-30	7
2018-05-31	6
2018-06-01	7
2018-06-02	1
2018-06-03	3
2018-06-04	9
2018-06-05	11
2018-06-06	11
2018-06-07	10
2018-06-08	12
2018-06-09	10
2018-06-10	4
2018-06-11	26
2018-06-12	17
2018-06-13	28
2018-06-14	21
2018-06-15	15
2018-06-16	31
2018-06-17	14
2018-06-18	61
2018-06-19	36
2018-06-20	63
2018-06-21	37
2018-06-22	34
2018-06-23	21
2018-06-24	13
2018-06-25	32
2018-06-26	27
2018-06-27	24
2018-06-28	22
2018-06-29	34
2018-06-30	21
2018-07-01	21
2018-07-02	36
2018-07-03	28
2018-07-04	20
2018-07-05	21
2018-07-06	16
2018-07-07	8
2018-07-08	7
2018-07-09	17
2018-07-10	25
2018-07-11	22
2018-07-12	18
2018-07-13	10
2018-07-14	7
2018-07-15	10
2018-07-16	20
2018-07-17	12
2018-07-18	15
2018-07-19	11
2018-07-20	21
2018-07-21	5
2018-07-22	6
2018-07-23	22
2018-07-24	10
2018-07-25	24
2018-07-26	13
2018-07-27	13
2018-07-28	9
2018-07-29	7
2018-07-30	20
2018-07-31	8
2018-08-01	26
2018-08-02	12
2018-08-03	13
2018-08-04	5
2018-08-05	5
2018-08-06	20
2018-08-07	19
2018-08-08	14
2018-08-09	15
2018-08-10	24
2018-08-11	11
2018-08-12	15
2018-08-13	16
2018-08-14	24
2018-08-15	15
2018-08-16	18
2018-08-17	15
2018-08-18	5
2018-08-19	6
2018-08-20	14
2018-08-21	22
2018-08-22	19
2018-08-23	13
2018-08-24	23
2018-08-25	9
2018-08-26	5
2018-08-27	19
2018-08-28	16
2018-08-29	15
2018-08-30	24
2018-08-31	13
2018-09-01	14
2018-09-02	5
2018-09-03	29
2018-09-04	20
2018-09-05	20
2018-09-06	13
2018-09-07	15
2018-09-08	9
2018-09-09	10
2018-09-10	20
2018-09-11	7
2018-09-12	10
2018-09-13	9
2018-09-14	17
2018-09-15	7
2018-09-16	7
2018-09-17	9
2018-09-18	14
2018-09-19	6
2018-09-20	6
2018-09-21	11
2018-09-22	4
2018-09-23	6
2018-09-24	10
2018-09-25	11
2018-09-26	15
2018-09-27	10
2018-09-28	16
2018-09-29	13
2018-09-30	11
2018-10-01	11
2018-10-02	7
2018-10-03	21
2018-10-04	16
2018-10-05	8
2018-10-06	5
2018-10-07	9
2018-10-08	11
2018-10-09	15
2018-10-10	23
2018-10-11	9
2018-10-12	8
2018-10-13	15
2018-10-14	8
2018-10-15	23
2018-10-16	12
2018-10-17	23
2018-10-18	16
2018-10-19	13
2018-10-20	4
2018-10-21	9
2018-10-22	26
2018-10-23	11
2018-10-24	18
2018-10-25	16
2018-10-26	12
2018-10-27	8
2018-10-28	9
2018-10-29	14
2018-10-30	14
2018-10-31	11
2018-11-01	11
2018-11-02	7
2018-11-03	15
2018-11-04	5
2018-11-05	19
2018-11-06	13
2018-11-07	22
2018-11-08	11
2018-11-09	14
2018-11-10	7
2018-11-11	5
2018-11-12	19
2018-11-13	25
2018-11-14	16
2018-11-15	17
2018-11-16	11
2018-11-17	4
2018-11-18	8
2018-11-19	23
2018-11-20	17
2018-11-21	19
2018-11-22	14
2018-11-23	19
2018-11-24	12
2018-11-25	6
2018-11-26	19
2018-11-27	16
2018-11-28	27
2018-11-29	28
2018-11-30	11
2018-12-01	10
2018-12-02	11
2018-12-03	17
2018-12-04	31
2018-12-05	38
2018-12-06	12
2018-12-07	14
2018-12-08	1
2018-12-09	7
2018-12-10	22
2018-12-11	23
2018-12-12	19
2018-12-13	19
2018-12-14	17
2018-12-15	9
2018-12-16	4
2018-12-17	18
2018-12-18	28
2018-12-19	15
2018-12-20	19
2018-12-21	14
2018-12-22	4
2018-12-23	3
2018-12-24	3
2018-12-25	2
2018-12-26	9
2018-12-27	21
2018-12-28	11
2018-12-29	2
2018-12-30	0
2018-12-31	3
2019-01-01	0
2019-01-02	61
2019-01-03	18
2019-01-04	26
2019-01-05	4
2019-01-06	17
2019-01-07	25
2019-01-08	38
2019-01-09	28
2019-01-10	32
2019-01-11	12
2019-01-12	9
2019-01-13	19
2019-01-14	32
2019-01-15	44
2019-01-16	22
2019-01-17	12
2019-01-18	13
2019-01-19	8
2019-01-20	12
2019-01-21	30
2019-01-22	15
2019-01-23	18
2019-01-24	20
2019-01-25	18
2019-01-26	8
2019-01-27	12
2019-01-28	24
2019-01-29	20
2019-01-30	17
2019-01-31	19
2019-02-01	15
2019-02-02	10
2019-02-03	9
2019-02-04	52
2019-02-05	40
2019-02-06	20
2019-02-07	24
2019-02-08	18
2019-02-09	9
2019-02-10	21
2019-02-11	39
2019-02-12	30
2019-02-13	30
2019-02-14	22
2019-02-15	23
2019-02-16	8
2019-02-17	22
2019-02-18	29
2019-02-19	14
2019-02-20	39
2019-02-21	30
2019-02-22	16
2019-02-23	2
2019-02-24	10
2019-02-25	35
2019-02-26	29
2019-02-27	23
2019-02-28	15
2019-03-01	23
2019-03-02	14
2019-03-03	11
2019-03-04	19
2019-03-05	22
2019-03-06	13
2019-03-07	35
2019-03-08	15
2019-03-09	9
2019-03-10	6
2019-03-11	19
2019-03-12	22
2019-03-13	14
2019-03-14	14
2019-03-15	16
2019-03-16	3
2019-03-17	13
2019-03-18	37
2019-03-19	20
2019-03-20	14
2019-03-21	15
2019-03-22	12
2019-03-23	9
2019-03-24	10
2019-03-25	16
2019-03-26	15
2019-03-27	13
2019-03-28	7
2019-03-29	17
2019-03-30	4
2019-03-31	2
2019-04-01	38
2019-04-02	20
2019-04-03	15
2019-04-04	12
2019-04-05	6
2019-04-06	12
2019-04-07	15
2019-04-08	19
2019-04-09	15
2019-04-10	3
2019-04-11	28
2019-04-12	21
2019-04-13	4
2019-04-14	9
2019-04-15	21
2019-04-16	18
2019-04-17	17
2019-04-18	13
2019-04-19	8
2019-04-20	4
2019-04-21	4
2019-04-22	5
2019-04-23	14
2019-04-24	10
2019-04-25	20
2019-04-26	14
2019-04-27	9
2019-04-28	8
2019-04-29	14
2019-04-30	11
2019-05-01	7
2019-05-02	17
2019-05-03	9
2019-05-04	4
2019-05-05	5
2019-05-06	18
2019-05-07	13
2019-05-08	9
2019-05-09	14
2019-05-10	19
2019-05-11	14
2019-05-12	10
2019-05-13	11
2019-05-14	12
2019-05-15	15
2019-05-16	21
2019-05-17	7
2019-05-18	8
2019-05-19	7
2019-05-20	26
2019-05-21	20
2019-05-22	19
2019-05-23	13
2019-05-24	12
2019-05-25	9
2019-05-26	8
2019-05-27	20
2019-05-28	10
2019-05-29	12
2019-05-30	12
2019-05-31	11
2019-06-01	5
2019-06-02	9
2019-06-03	18
2019-06-04	12
2019-06-05	11
2019-06-06	8
2019-06-07	10
2019-06-08	2
2019-06-09	3
2019-06-10	10
2019-06-11	5
2019-06-12	8
2019-06-13	4
2019-06-14	7
2019-06-15	7
2019-06-16	4
2019-06-17	14
2019-06-18	16
2019-06-19	17
2019-06-20	14
2019-06-21	7
2019-06-22	7
2019-06-23	7
2019-06-24	12
2019-06-25	13
2019-06-26	8
2019-06-27	13
2019-06-28	13
2019-06-29	8
2019-06-30	5
2019-07-01	17
2019-07-02	22
2019-07-03	16
2019-07-04	26
2019-07-05	22
2019-07-06	16
2019-07-07	11
2019-07-08	25
2019-07-09	29
2019-07-10	31
2019-07-11	20
2019-07-12	35
2019-07-13	24
2019-07-14	26
2019-07-15	40
2019-07-16	34
2019-07-17	40
2019-07-18	22
2019-07-19	37
2019-07-20	25
2019-07-21	14
2019-07-22	42
2019-07-23	24
2019-07-24	37
2019-07-25	39
2019-07-26	23
2019-07-27	13
2019-07-28	20
2019-07-29	48
2019-07-30	29
2019-07-31	25
2019-08-01	33
2019-08-02	23
2019-08-03	15
2019-08-04	9
2019-08-05	28
2019-08-06	25
2019-08-07	22
2019-08-08	21
2019-08-09	19
2019-08-10	23
2019-08-11	9
2019-08-12	14
2019-08-13	26
2019-08-14	22
2019-08-15	26
2019-08-16	27
2019-08-17	13
2019-08-18	21
2019-08-19	29
2019-08-20	20
2019-08-21	23
2019-08-22	17
2019-08-23	29
2019-08-24	24
2019-08-25	9
2019-08-26	24
2019-08-27	33
2019-08-28	34
2019-08-29	22
2019-08-30	16
2019-08-31	9
2019-09-01	25
2019-09-02	25
2019-09-03	21
2019-09-04	27
2019-09-05	16
2019-09-06	21
2019-09-07	10
2019-09-08	6
2019-09-09	22
2019-09-10	25
2019-09-11	11
2019-09-12	19
2019-09-13	16
2019-09-14	13
2019-09-15	5
2019-09-16	16
2019-09-17	14
2019-09-18	19
2019-09-19	21
2019-09-20	24
2019-09-21	12
2019-09-22	9
2019-09-23	19
2019-09-24	26
2019-09-25	28
2019-09-26	22
2019-09-27	11
2019-09-28	11
2019-09-29	8
2019-09-30	25
2019-10-01	13
2019-10-02	16
2019-10-03	9
2019-10-04	16
2019-10-05	6
2019-10-06	7
2019-10-07	24
2019-10-08	36
2019-10-09	19
2019-10-10	17
2019-10-11	28
2019-10-12	10
2019-10-13	9
2019-10-14	49
2019-10-15	18
2019-10-16	31
2019-10-17	17
2019-10-18	12
2019-10-19	13
2019-10-20	10
2019-10-21	31
2019-10-22	11
2019-10-23	20
2019-10-24	14
2019-10-25	7
2019-10-26	7
2019-10-27	6
2019-10-28	20
2019-10-29	17
2019-10-30	21
2019-10-31	14
2019-11-01	13
2019-11-02	5
2019-11-03	8
2019-11-04	27
2019-11-05	27
2019-11-06	19
2019-11-07	23
2019-11-08	11
2019-11-09	22
2019-11-10	9
2019-11-11	19
2019-11-12	25
2019-11-13	20
2019-11-14	18
2019-11-15	25
2019-11-16	13
2019-11-17	12
2019-11-18	30
2019-11-19	29
2019-11-20	38
2019-11-21	24
2019-11-22	10
2019-11-23	19
2019-11-24	11
2019-11-25	35
2019-11-26	35
2019-11-27	45
2019-11-28	33
2019-11-29	19
2019-11-30	9
2019-12-01	8
2019-12-02	34
2019-12-03	25
2019-12-04	32
2019-12-05	21
2019-12-06	19
2019-12-07	17
2019-12-08	15
2019-12-09	26
2019-12-10	29
2019-12-11	47
2019-12-12	26
2019-12-13	18
2019-12-14	12
2019-12-15	13
2019-12-16	40
2019-12-17	24
2019-12-18	34
2019-12-19	15
2019-12-20	24
2019-12-21	11
2019-12-22	10
2019-12-23	36
2019-12-24	15
2019-12-25	4
2019-12-26	8
2019-12-27	24
2019-12-28	29
2019-12-29	30
2019-12-30	53
2019-12-31	20
2020-01-01	10
2020-01-02	31
2020-01-03	32
2020-01-04	34
2020-01-05	20
2020-01-06	32
2020-01-07	49
2020-01-08	57
2020-01-09	42
2020-01-10	33
2020-01-11	34
2020-01-12	26
2020-01-13	46
2020-01-14	57
2020-01-15	42
2020-01-16	41
2020-01-17	33
2020-01-18	17
2020-01-19	24
2020-01-20	59
2020-01-21	48
2020-01-22	58
2020-01-23	38
2020-01-24	52
2020-01-25	21
2020-01-26	25
2020-01-27	62
2020-01-28	43
2020-01-29	35
2020-01-30	24
2020-01-31	32
2020-02-01	16
2020-02-02	31
2020-02-03	57
2020-02-04	48
2020-02-05	50
2020-02-06	34
2020-02-07	32
2020-02-08	37
2020-02-09	22
2020-02-10	67
2020-02-11	61
2020-02-12	40
2020-02-13	39
2020-02-14	41
2020-02-15	35
2020-02-16	19
2020-02-17	59
2020-02-18	53
2020-02-19	39
2020-02-20	45
2020-02-21	53
2020-02-22	26
2020-02-23	21
2020-02-24	63
2020-02-25	41
2020-02-26	43
2020-02-27	47
2020-02-28	58
2020-02-29	32
2020-03-01	42
2020-03-02	74
2020-03-03	53
2020-03-04	39
2020-03-05	34
2020-03-06	52
2020-03-07	34
2020-03-08	25
2020-03-09	68
2020-03-10	33
2020-03-11	36
2020-03-12	32
2020-03-13	39
2020-03-14	26
2020-03-15	19
2020-03-16	58
2020-03-17	38
2020-03-18	52
2020-03-19	26
2020-03-20	47
2020-03-21	23
2020-03-22	25
2020-03-23	75
2020-03-24	37
2020-03-25	41
2020-03-26	41
2020-03-27	27
2020-03-28	26
2020-03-29	17
2020-03-30	32
2020-03-31	42
2020-04-01	35
2020-04-02	30
2020-04-03	28
2020-04-04	16
2020-04-05	8
2020-04-06	57
2020-04-07	30
2020-04-08	33
2020-04-09	15
2020-04-10	14
2020-04-11	8
2020-04-12	4
2020-04-13	13
2020-04-14	41
2020-04-15	18
2020-04-16	26
2020-04-17	4
2020-04-18	8
2020-04-19	23
2020-04-20	56
2020-04-21	20
2020-04-22	27
2020-04-23	30
2020-04-24	14
2020-04-25	13
2020-04-26	12
2020-04-27	37
2020-04-28	29
2020-04-29	34
2020-04-30	21
2020-05-01	8
2020-05-02	17
2020-05-03	7
2020-05-04	59
2020-05-05	20
2020-05-06	10
2020-05-07	12
2020-05-08	29
2020-05-09	7
2020-05-10	20
2020-05-11	13
2020-05-12	38
2020-05-13	20
2020-05-14	20
2020-05-15	11
2020-05-16	5
2020-05-17	7
2020-05-18	19
2020-05-19	13
2020-05-20	12
2020-05-21	10
2020-05-22	9
2020-05-23	3
2020-05-24	4
2020-05-25	20
2020-05-26	19
2020-05-27	10
2020-05-28	15
2020-05-29	5
2020-05-30	4
2020-05-31	5
2020-06-01	16
2020-06-02	25
2020-06-03	22
2020-06-04	13
2020-06-05	27
2020-06-06	5
2020-06-07	4
2020-06-08	33
2020-06-09	7
2020-06-10	18
2020-06-11	9
2020-06-12	9
2020-06-13	14
2020-06-14	4
2020-06-15	27
2020-06-16	13
2020-06-17	11
2020-06-18	18
2020-06-19	9
2020-06-20	10
2020-06-21	4
2020-06-22	22
2020-06-23	6
2020-06-24	13
2020-06-25	5
2020-06-26	16
2020-06-27	10
2020-06-28	5
2020-06-29	13
2020-06-30	8
2020-07-01	19
2020-07-02	18
2020-07-03	12
2020-07-04	4
2020-07-05	3
2020-07-06	16
2020-07-07	11
2020-07-08	10
2020-07-09	5
2020-07-10	9
2020-07-11	6
2020-07-12	5
2020-07-13	10
2020-07-14	24
2020-07-15	19
2020-07-16	11
2020-07-17	20
2020-07-18	6
2020-07-19	13
2020-07-20	28
2020-07-21	12
2020-07-22	18
2020-07-23	13
2020-07-24	11
2020-07-25	10
2020-07-26	8
2020-07-27	25
2020-07-28	19
2020-07-29	24
2020-07-30	16
2020-07-31	13
2020-08-01	12
2020-08-02	9
2020-08-03	38
2020-08-04	14
2020-08-05	25
2020-08-06	21
2020-08-07	17
2020-08-08	13
2020-08-09	7
2020-08-10	26
2020-08-11	16
2020-08-12	18
2020-08-13	31
2020-08-14	11
2020-08-15	13
2020-08-16	9
2020-08-17	26
2020-08-18	25
2020-08-19	31
2020-08-20	21
2020-08-21	15
2020-08-22	21
2020-08-23	11
2020-08-24	29
2020-08-25	18
2020-08-26	29
2020-08-27	22
2020-08-28	18
2020-08-29	8
2020-08-30	14
2020-08-31	19
2020-09-01	15
2020-09-02	21
2020-09-03	16
2020-09-04	28
2020-09-05	8
2020-09-06	10
2020-09-07	20
2020-09-08	13
2020-09-09	21
2020-09-10	18
2020-09-11	15
2020-09-12	5
2020-09-13	5
2020-09-14	19
2020-09-15	25
2020-09-16	20
2020-09-17	11
2020-09-18	15
2020-09-19	11
2020-09-20	11
2020-09-21	13
2020-09-22	25
2020-09-23	17
2020-09-24	12
2020-09-25	15
2020-09-26	7
2020-09-27	12
2020-09-28	18
2020-09-29	16
2020-09-30	16
2020-10-01	22
2020-10-02	12
2020-10-03	4
2020-10-04	5
2020-10-05	21
2020-10-06	24
2020-10-07	13
2020-10-08	21
2020-10-09	8
2020-10-10	5
2020-10-11	17
2020-10-12	10
2020-10-13	17
2020-10-14	6
2020-10-15	19
2020-10-16	9
2020-10-17	4
2020-10-18	9
2020-10-19	14
2020-10-20	17
2020-10-21	22
2020-10-22	22
2020-10-23	10
2020-10-24	12
2020-10-25	7
2020-10-26	15
2020-10-27	22
2020-10-28	17
2020-10-29	24
2020-10-30	24
2020-10-31	14
2020-11-01	7
2020-11-02	11
2020-11-03	12
2020-11-04	15
2020-11-05	16
2020-11-06	9
2020-11-07	15
2020-11-08	9
2020-11-09	23
2020-11-10	15
2020-11-11	20
2020-11-12	16
2020-11-13	18
2020-11-14	7
2020-11-15	14
2020-11-16	30
2020-11-17	24
2020-11-18	22
2020-11-19	17
2020-11-20	11
2020-11-21	6
2020-11-22	17
2020-11-23	21
2020-11-24	18
2020-11-25	20
2020-11-26	17
2020-11-27	22
2020-11-28	7
2020-11-29	8
2020-11-30	17
2020-12-01	16
2020-12-02	35
2020-12-03	8
2020-12-04	9
2020-12-05	10
2020-12-06	13
2020-12-07	20
2020-12-08	22
2020-12-09	22
2020-12-10	36
2020-12-11	23
2020-12-12	8
2020-12-13	14
2020-12-14	9
2020-12-15	28
2020-12-16	25
2020-12-17	7
2020-12-18	19
2020-12-19	11
2020-12-20	12
2020-12-21	11
2020-12-22	14
2020-12-23	30
2020-12-24	13
2020-12-25	5
2020-12-26	8
2020-12-27	18
2020-12-28	24
2020-12-29	25
2020-12-30	15
2020-12-31	10
2021-01-01	11
2021-01-02	10
2021-01-03	14
2021-01-04	21
2021-01-05	25
2021-01-06	23
2021-01-07	11
2021-01-08	12
2021-01-09	13
2021-01-10	16
2021-01-11	23
2021-01-12	25
2021-01-13	21
2021-01-14	36
2021-01-15	16
2021-01-16	13
2021-01-17	18
2021-01-18	35
2021-01-19	24
2021-01-20	15
2021-01-21	15
2021-01-22	16
2021-01-23	21
2021-01-24	13
2021-01-25	48
2021-01-26	17
2021-01-27	14
2021-01-28	11
2021-01-29	22
2021-01-30	26
2021-01-31	2
2021-02-01	35
2021-02-02	34
2021-02-03	34
2021-02-04	27
2021-02-05	30
2021-02-06	29
2021-02-07	12
2021-02-08	44
2021-02-09	25
2021-02-10	39
2021-02-11	12
2021-02-12	25
2021-02-13	28
2021-02-14	12
2021-02-15	26
2021-02-16	73
2021-02-17	81
2021-02-18	60
2021-02-19	62
2021-02-20	57
2021-02-21	41
2021-02-22	42
2021-02-23	66
2021-02-24	51
2021-02-25	41
2021-02-26	27
2021-02-27	48
2021-02-28	29
2021-03-01	122
2021-03-02	32
2021-03-03	30
2021-03-04	29
2021-03-05	36
2021-03-06	22
2021-03-07	72
2021-03-08	69
2021-03-09	82
2021-03-10	50
2021-03-11	24
2021-03-12	43
2021-03-13	56
2021-03-14	40
2021-03-15	51
2021-03-16	39
2021-03-17	71
2021-03-18	37
2021-03-19	64
2021-03-20	34
2021-03-21	23
2021-03-22	109
2021-03-23	43
2021-03-24	58
2021-03-25	54
2021-03-26	21
2021-03-27	8
2021-03-28	12
2021-03-29	33
2021-03-30	40
2021-03-31	85
2021-04-01	63
2021-04-02	20
2021-04-03	15
2021-04-04	46
2021-04-05	26
2021-04-06	56
2021-04-07	21
2021-04-08	26
2021-04-09	55
2021-04-10	25
2021-04-11	35
2021-04-12	38
2021-04-13	42
2021-04-14	64
2021-04-15	62
2021-04-16	63
2021-04-17	29
2021-04-18	51
2021-04-19	65
2021-04-20	49
2021-04-21	68
2021-04-22	26
2021-04-23	23
2021-04-24	23
2021-04-25	32
2021-04-26	60
2021-04-27	30
2021-04-28	20
2021-04-29	27
2021-04-30	28
2021-05-01	12
2021-05-02	4
2021-05-03	16
2021-05-04	36
2021-05-05	56
2021-05-06	40
2021-05-07	28
2021-05-08	20
2021-05-09	20
2021-05-10	48
2021-05-11	88
2021-05-12	80
2021-05-13	58
2021-05-14	72
2021-05-15	56
2021-05-16	24
2021-05-17	72
2021-05-18	38
2021-05-19	36
2021-05-20	46
2021-05-21	50
2021-05-22	16
2021-05-23	8
2021-05-24	64
2021-05-25	36
2021-05-26	66
2021-05-27	20
2021-05-28	16
2021-05-29	18
2021-05-30	6
2021-05-31	25
2021-06-01	16
2021-06-02	58
2021-06-03	26
2021-06-04	20
2021-06-05	32
2021-06-06	24
2021-06-07	92
2021-06-08	32
2021-06-09	56
2021-06-10	28
2021-06-11	52
2021-06-12	24
2021-06-13	24
2021-06-14	44
2021-06-15	40
2021-06-16	51
2021-06-17	42
2021-06-18	54
2021-06-19	40
2021-06-20	22
2021-06-21	27
2021-06-22	55
2021-06-23	56
2021-06-24	42
2021-06-25	79
2021-06-26	65
2021-06-27	23
2021-06-28	79
2021-06-29	20
2021-06-30	29
2021-07-01	106
2021-07-02	48
2021-07-03	14
2021-07-04	16
2021-07-05	91
2021-07-06	55
2021-07-07	98
2021-07-08	46
2021-07-09	73
2021-07-10	36
2021-07-11	25
2021-07-12	55
2021-07-13	92
2021-07-14	83
2021-07-15	74
2021-07-16	49
2021-07-17	18
2021-07-18	38
2021-07-19	59
2021-07-20	52
2021-07-21	69
2021-07-22	54
2021-07-23	62
2021-07-24	17
2021-07-25	13
2021-07-26	61
2021-07-27	56
2021-07-28	86
2021-07-29	60
2021-07-30	60
2021-07-31	23
2021-08-01	35
2021-08-02	37
2021-08-03	36
2021-08-04	72
2021-08-05	48
2021-08-06	20
2021-08-07	35
2021-08-08	18
2021-08-09	61
2021-08-10	35
2021-08-11	26
2021-08-12	13
2021-08-13	1
2021-08-14	0
2021-08-15	1
2021-08-16	2
